TC2 scheduled/num_streams 154/260 = 59.23%
k: 3 (47.0, '%', 'unscheduled', 17, 'total', 32, 'e2e too large', [204, 131, 124, 79, 82, 59, 180, 73, 202, 24, 168, 58, 169, 61, 26, 93, 220], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 3750.0bytes k: 2 (87.0, '%', 'unscheduled', 8, 'total', 63, 'e2e too large', [193, 16], 'bandwidth violation', [157, 146, 71, 158, 76, 144])
 cycle_time: 125us bandwidth: 3750.0bytes k: 1 (51.0, '%', 'unscheduled', 81, 'total', 165, 'e2e too large', [], 'bandwidth violation', [122, 165, 182, 213, 30, 255, 56, 0, 245, 135, 172, 174, 191, 119, 29, 9, 214, 89, 50, 243, 95, 248, 111, 250, 55, 132, 252, 17, 181, 53, 142, 110, 236, 162, 52, 156, 199, 203, 259, 139, 40, 230, 147, 242, 224, 23, 104, 20, 235, 258, 32, 137, 36, 1, 13, 175, 22, 173, 231, 205, 208, 210, 226, 69, 195, 103, 246, 27, 65, 48, 47, 123, 167, 12, 91, 100, 21, 211, 72, 149, 77])
Stream: id 199 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_3_3 | period 40.0| deadline 34.12 | size 821| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_3']['q7', 'q5', 'q7']
Stream: id 106 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_3_0 | period 200.0| deadline 21.4 | size 1253| injection delay:0['node0_0_3_1', 'sw_0_3', 'node0_0_3_0']['q7']
Stream: id 177 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_3_3 | period 100.0| deadline 30.6 | size 589| injection delay:1['node0_0_2_2', 'sw_0_2', 'sw_0_3', 'node0_0_3_3']['q7', 'q6']
Stream: id 182 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_3_3 | period 100.0| deadline 29.72 | size 947| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'node0_0_3_3']['q7', 'q5', 'q6', 'q5', 'q6', 'q5']
Stream: id 218 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_3_3 | period 200.0| deadline 21.84 | size 1182| injection delay:0['node0_0_3_1', 'sw_0_3', 'node0_0_3_3']['q7']
Stream: id 101 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_5_2 | period 200.0| deadline 24.0 | size 473| injection delay:1['node0_0_5_1', 'sw_0_5', 'node0_0_5_2']['q6']
Stream: id 72 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_3_0 | period 100.0| deadline 29.8 | size 936| injection delay:1['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'node0_0_3_0']['q6', 'q5']
Stream: id 7 | k_group 1 | q_n 3 | node0_0_2_2->node0_0_3_0 | period 200.0| deadline 24.16 | size 440| injection delay:0['node0_0_2_2', 'sw_0_2', 'sw_0_3', 'node0_0_3_0']['q7', 'q6']
Stream: id 224 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_4_3 | period 100.0| deadline 28.64 | size 1351| injection delay:1['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_3']['q7', 'q6', 'q5']
Stream: id 98 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_2_4 | period 200.0| deadline 24.8 | size 240| injection delay:0['node0_0_5_4', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_4']['q7', 'q6', 'q5', 'q7']
Stream: id 175 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_0_1 | period 200.0| deadline 22.56 | size 987| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_1']['q6', 'q5', 'q7']
Stream: id 179 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_5_2 | period 200.0| deadline 23.32 | size 741| injection delay:1['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'node0_0_5_2']['q6', 'q5']
